base_country,country,f_total,metric,x_total,z_total,delta
AUS,AUT,873961.4396228965,882508.9583715212,1661407.7848748183,778898.8265032973,746.365043614991
AUS,BEL,873961.4396228967,883449.075631109,1661100.0302217912,777650.9545906822,-193.7522159727523
AUS,BGR,873961.4396228964,882737.6240721728,1662267.983689846,779530.3596176731,517.6993429634022
AUS,BRA,873961.439622897,882528.8137838036,1661782.1090809396,779253.2952971357,726.5096313325921
AUS,CAN,873961.4396228968,882313.8750594611,1660903.4859381747,778589.6108787132,941.4483556750929
AUS,CHN,873961.4396228967,882800.6342827776,1661949.3961359635,779148.7618531851,454.689132358646
AUS,CYP,873961.4396228965,882919.9053179132,1662081.849546629,779161.9442287158,335.4180972230388
AUS,CZE,873961.4396228964,882143.2717715498,1661901.9079725882,779758.636201039,1112.0516435863683
AUS,DEU,873961.4396228967,881343.5081731577,1657766.5713423078,776423.06316915,1911.8152419785038
AUS,DNK,873961.4396228967,884227.0767098968,1660571.0586249232,776343.981915027,-971.7532947605941
AUS,ESP,873961.4396228966,882645.6908986485,1662130.7286829543,779485.0377843059,609.6325164877344
AUS,EST,873961.4396228966,882758.7415010851,1662578.6784998202,779819.9369987348,496.58191405108664
AUS,FIN,873961.4396228967,883255.7624978381,1660026.552730327,776770.790232489,-0.43908270192332566
AUS,FRA,873961.4396228966,881806.588050335,1659382.569528369,777575.9814780342,1448.7353648012504
AUS,GBR,873961.4396228966,882964.0083575506,1659816.7845822175,776852.776224667,291.31505758559797
AUS,GRC,873961.4396228967,882458.688390038,1662198.1730556188,779739.4846655808,796.6350250982214
AUS,HUN,873961.4396228963,881761.6987275349,1661343.774737476,779582.0760099408,1493.6246876013465
AUS,IDN,873961.4396228966,881919.583094791,1661883.5100132825,779963.9269184914,1335.740320345154
AUS,IND,873961.4396228961,882630.9514719768,1661992.9837439242,779362.0322719477,624.3719431593781
AUS,IRL,873961.4396228965,882761.2661022905,1660085.790660537,777324.5245582464,494.0573128457181
AUS,ITA,873961.4396228967,881366.5406843926,1659907.8678050644,778541.3271206716,1888.7827307436382
AUS,JPN,873961.4396228966,883800.8339955746,1662704.9013958788,778904.0674003038,-545.510580438422
AUS,KOR,873961.4396228965,882656.1374280701,1660507.9168767927,777851.7794487226,599.1859870661283
AUS,LTU,873961.4396228964,881875.8210379372,1661778.3966463332,779902.575608396,1379.502377199009
AUS,LUX,873961.4396228966,882919.9634486703,1661233.815152475,778313.8517038049,335.3599664658541
AUS,LVA,873961.4396228966,883560.2872673275,1663671.482382782,780111.1951154537,-304.9638521913439
AUS,MEX,873961.4396228967,882281.7671695299,1662430.5455175708,780148.7783480409,973.5562456062762
AUS,MLT,873961.4396228966,882079.8292711042,1661780.7896236093,779700.9603525049,1175.4941440320108
AUS,NLD,873961.4396228967,883707.3465629956,1661423.718600397,777716.3720374012,-452.0231478593778
AUS,POL,873961.4396228968,882670.7841513049,1663355.317969298,780684.5338179931,584.5392638313351
AUS,PRT,873961.4396228966,881557.5534543953,1659957.4771091752,778399.9236547791,1697.7699607409304
AUS,ROU,873961.4396228966,882391.0820815125,1662527.5988559173,780136.5167744051,864.2413336236496
AUS,RUS,873961.4396228964,882101.4334810117,1661659.8948004374,779558.4613194254,1153.8899341245415
AUS,SVK,873961.4396228968,882020.4368200338,1661998.1706748183,779977.7338547845,1234.8865951023763
AUS,SVN,873961.4396228967,881855.3940062703,1661242.019013139,779386.6250068691,1399.9294088658644
AUS,SWE,873961.4396228965,883269.4179064798,1660073.859126183,776804.4412197034,-14.094491343596019
AUS,TUR,873961.4396228968,881678.5314349036,1660315.5375692116,778637.0061343081,1576.7919802325778
AUS,TWN,873961.4396228967,882128.0628612792,1661550.829646064,779422.7667847851,1127.2605538569624
AUS,USA,873961.4396228965,883705.6001339544,1662468.2780471756,778762.6779132212,-450.27671881823335
AUT,AUS,268476.2499102664,415282.6577608925,794346.2399850825,379063.58222419047,-137.01201673795003
AUT,BEL,268476.2499102663,415353.8782849433,794238.2487952922,378884.370510349,-208.23254078871105
AUT,BGR,268476.24991026626,414850.3402585692,793836.0377151382,378985.6974565692,295.3054855853552
AUT,BRA,268476.24991026626,414821.83262008533,793515.8763186375,378694.04369855236,323.81312406924553
AUT,CAN,268476.2499102663,414907.13528343884,793438.8036566916,378531.66837325285,238.51046071574092
AUT,CHN,268476.2499102664,414864.87377473613,793604.5610900689,378739.6873153329,280.77196941844886
AUT,CYP,268476.2499102663,415430.9838775235,794251.938526546,378820.95464902266,-285.3381333689322
AUT,CZE,268476.2499102663,414543.1660238551,793940.6281423616,379397.4621185065,602.4797202994814
AUT,DEU,268476.2499102663,414778.7251061722,793345.730584884,378567.00547871186,366.9206379823736
AUT,DNK,268476.2499102664,415672.58380893717,794507.649219332,378835.0654103951,-526.9380647825892
AUT,ESP,268476.2499102663,415016.9535287266,793821.7169084938,378804.7633797673,128.69221542798914
AUT,EST,268476.2499102663,414927.87620324944,793985.6959139607,379057.81971071113,217.76954090513755
AUT,FIN,268476.2499102664,415368.59623013466,794045.5552317397,378676.9590016051,-222.95048598007997
AUT,FRA,268476.2499102664,414917.27655770746,793386.7348268904,378469.45826918294,228.3691864471184
AUT,GBR,268476.2499102664,415427.0573457108,794435.2950725452,379008.2377268345,-281.4116015562322
AUT,GRC,268476.2499102663,415062.75632073934,793620.2800342151,378557.5237134754,82.88942341523943
AUT,HUN,268476.24991026626,414400.4114275481,793528.3247676165,379127.91334006836,745.234316606482
AUT,IDN,268476.2499102664,414447.26073231123,793258.3862633053,378811.12553099403,698.3850118433475
AUT,IND,268476.24991026626,414649.516792857,793501.4955429609,378851.9787501039,496.1289512976073
AUT,IRL,268476.2499102664,415016.0513854042,793654.3213636086,378638.2699782044,129.59435875038616
AUT,ITA,268476.24991026626,414593.0238622294,793038.0893199915,378445.0654577617,552.6218819251517
AUT,JPN,268476.2499102664,415618.2157674361,794586.1873546982,378967.9715872618,-472.57002328149974
AUT,KOR,268476.24991026643,415151.25022244477,793654.6114167208,378503.3611942759,-5.604478290188126
AUT,LTU,268476.2499102664,414350.8157408356,793224.1575969809,378873.34185614565,794.8300033189589
AUT,LUX,268476.2499102664,415360.92233212123,793772.4385386526,378411.5162065315,-215.27658796665492
AUT,LVA,268476.2499102663,415192.48348014767,794605.9313499309,379413.44786978344,-46.837735993089154
AUT,MEX,268476.2499102663,414644.6594665387,793483.5345804024,378838.87511386373,500.9862776158843
AUT,MLT,268476.2499102662,414660.10410427727,793497.6860725064,378837.58196822886,485.5416398773086
AUT,NLD,268476.24991026626,415450.7839910225,794457.6600094036,379006.87601838086,-305.13824686792213
AUT,POL,268476.2499102663,414892.7808974631,794175.187728457,379282.4068309935,252.86484669148922
AUT,PRT,268476.2499102664,414675.48740135337,793065.9911457791,378390.50374442595,470.1583428012091
AUT,ROU,268476.24991026643,414510.84136908164,793592.9359510579,379082.0945819765,634.8043750729412
AUT,RUS,268476.2499102663,414513.8069616521,793298.6152654518,378784.80830379965,631.8387825024547
AUT,SVK,268476.24991026643,414546.372254156,794008.3798012529,379462.0075470967,599.2734899985953
AUT,SVN,268476.2499102663,414507.0072511871,793390.5728932057,378883.5656420184,638.6384929674678
AUT,SWE,268476.24991026643,415233.92027507053,794058.6230460308,378824.7027709603,-88.27453091595089
AUT,TUR,268476.24991026626,414374.09612473845,792967.3376716062,378593.24154686794,771.5496194161242
AUT,TWN,268476.24991026626,414926.9702443933,793744.9128286142,378817.94258422084,218.6754997613025
AUT,USA,268476.24991026643,415536.05248727,794431.4006717209,378895.34818445065,-390.40674311539624
BEL,AUS,340633.9119536116,507925.61496601434,1088259.1392553607,580333.5242893468,310.1260256647365
BEL,AUT,340633.91195361153,507608.5112506296,1087361.1102018245,579752.5989511948,627.2297410494648
BEL,BGR,340633.9119536116,507578.1193022417,1086828.9242569737,579250.8049547317,657.6216894373647
BEL,BRA,340633.91195361165,507543.01879892376,1086657.3381734286,579114.3193745046,692.7221927553182
BEL,CAN,340633.91195361165,507787.37970133347,1086997.035497698,579209.6557963648,448.3612903456087
BEL,CHN,340633.91195361177,507389.2560339297,1086514.2050361184,579124.9490021885,846.4849577493733
BEL,CYP,340633.9119536115,508137.94651576167,1087717.2133424354,579579.2668266736,97.79447591741337
BEL,CZE,340633.91195361165,506659.9878888572,1085904.300486693,579244.3125978358,1575.75310282188
BEL,DEU,340633.91195361136,507309.44613018277,1086393.345456724,579083.8993265419,926.2948614963097
BEL,DNK,340633.9119536115,509324.1030715597,1088989.4921736086,579665.3891020487,-1088.3620798806078
BEL,ESP,340633.91195361165,507683.13716202276,1087571.533107947,579888.3959459242,552.6038296563202
BEL,EST,340633.9119536117,507595.3259242301,1086964.6809903788,579369.3550661487,640.4150674489792
BEL,FIN,340633.9119536116,508373.39390364214,1087951.3773894152,579577.983485773,-137.6529119630577
BEL,FRA,340633.91195361153,507652.93427438085,1086923.1882953534,579270.2540209725,582.8067172982264
BEL,GBR,340633.9119536115,508262.0473075917,1088330.5430693238,580068.495761732,-26.30631591263227
BEL,GRC,340633.91195361165,507719.88596639986,1087279.4489506688,579559.562984269,515.8550252792193
BEL,HUN,340633.91195361153,506819.52405904006,1085792.3569872885,578972.8329282484,1416.216932639014
BEL,IDN,340633.9119536116,506840.4672871629,1086154.7657652856,579314.2984781227,1395.2737045161775
BEL,IND,340633.91195361153,507092.44610010827,1086259.3629214766,579166.9168213682,1143.2948915708112
BEL,IRL,340633.91195361153,507751.11213914526,1086902.7246180524,579151.6124789065,484.6288525338168
BEL,ITA,340633.9119536116,507404.62357786816,1086871.8219753103,579467.1983974423,831.11741381092
BEL,JPN,340633.91195361165,508648.5272114451,1088353.2278956245,579704.7006841796,-412.78621976601426
BEL,KOR,340633.9119536117,508074.50082167226,1087447.924732281,579373.4239106089,161.24017000681488
BEL,LTU,340633.9119536116,506796.85248462524,1085886.8840517139,579090.0315670888,1438.888507053838
BEL,LUX,340633.9119536116,508345.44996701303,1087710.6806321782,579365.230665165,-109.70897533395328
BEL,LVA,340633.91195361165,507811.5636640516,1087403.5763266725,579592.0126626204,424.17732762749074
BEL,MEX,340633.9119536117,507275.73185985774,1086761.5815685804,579485.8497087224,960.0091318213381
BEL,MLT,340633.9119536116,507259.9203559152,1086759.728040197,579499.8076842818,975.8206357638701
BEL,NLD,340633.91195361153,508722.73772873264,1088644.4296543838,579921.691925651,-486.9967370535596
BEL,POL,340633.9119536117,507411.6651848705,1087275.4658197986,579863.8006349282,824.0758068085997
BEL,PRT,340633.91195361165,507260.03102386027,1086473.3943186945,579213.363294834,975.7099678188097
BEL,ROU,340633.91195361153,506923.096021284,1086289.2665116887,579366.1704904046,1312.6449703950784
BEL,RUS,340633.91195361153,506883.8324402023,1086236.33185002,579352.4994098179,1351.9085514767794
BEL,SVK,340633.91195361153,506879.3180393164,1086200.1927568952,579320.8747175791,1356.4229523626855
BEL,SVN,340633.91195361165,506664.0830204089,1085895.7512148463,579231.6681944373,1571.6579712701496
BEL,SWE,340633.91195361165,508187.65575575473,1087572.200132922,579384.5443771671,48.08523592434358
BEL,TUR,340633.91195361177,507016.59318507375,1086091.9718623068,579075.3786772334,1219.1478066053241
BEL,TWN,340633.91195361177,507681.9519162974,1087427.122368536,579745.1704522386,553.7890753817046
BEL,USA,340633.9119536115,508766.72377394006,1088595.2323248636,579828.5085509238,-530.9827822609805
BGR,AUS,32525.648980199465,47222.18145524895,109672.18893862511,62450.00748337617,-17.073225954096415
BGR,AUT,32525.64898019946,47227.50069644397,109684.27345125457,62456.772754810634,-22.392467149111326
BGR,BEL,32525.648980199472,47230.00044846412,109663.2921871455,62433.291738681364,-24.892219169261807
BGR,BRA,32525.648980199458,47199.61306663163,109600.21343646034,62400.600369828695,5.495162663224619
BGR,CAN,32525.648980199454,47200.01681164045,109593.3869889374,62393.37017729695,5.091417654402903
BGR,CHN,32525.648980199454,47199.30856478597,109640.33183074016,62441.02326595419,5.799664508886053
BGR,CYP,32525.64898019946,47248.68813571867,109686.48989802095,62437.80176230229,-43.57990642381628
BGR,CZE,32525.64898019946,47175.15102480235,109622.62223017821,62447.47120537585,29.957204492508026
BGR,DEU,32525.64898019947,47191.829336087365,109604.45428534884,62412.62494926143,13.27889320749091
BGR,DNK,32525.64898019946,47242.28540434265,109689.77367165868,62447.488267316025,-37.17717504779284
BGR,ESP,32525.648980199472,47223.819872677894,109694.3042891749,62470.48441649705,-18.71164338303788
BGR,EST,32525.64898019946,47212.54519273604,109673.06384537363,62460.51865263757,-7.436963441185071
BGR,FIN,32525.64898019945,47226.85086897851,109665.77423697159,62438.92336799304,-21.74263968365267
BGR,FRA,32525.648980199447,47200.85636571836,109611.94121776118,62411.08485204286,4.2518635764936334
BGR,GBR,32525.648980199454,47224.160428306015,109673.38714468597,62449.22671637992,-19.052199011159246
BGR,GRC,32525.648980199454,47221.27782807003,109687.88955014394,62466.61172207391,-16.169598775173654
BGR,HUN,32525.648980199458,47159.24267036509,109597.39603126614,62438.15336090108,45.86555892976321
BGR,IDN,32525.648980199476,47125.1694406172,109575.35889817591,62450.189457558685,79.93878867765306
BGR,IND,32525.64898019947,47181.6254568537,109656.49318417351,62474.86772731979,23.482772441158886
BGR,IRL,32525.64898019945,47203.08857111296,109629.4018843751,62426.31331326211,2.019658181896375
BGR,ITA,32525.648980199458,47205.88858626654,109641.72290346342,62435.834317196866,-0.7803569716852508
BGR,JPN,32525.648980199447,47265.67507939269,109719.82282010916,62454.14774071645,-60.56685009783541
BGR,KOR,32525.64898019947,47231.31481779096,109692.15826657017,62460.8434487792,-26.206588496104814
BGR,LTU,32525.64898019946,47139.16850823877,109621.61254660018,62482.44403836139,65.93972105608555
BGR,LUX,32525.648980199465,47218.937934501795,109649.7564490856,62430.81851458378,-13.829705206939252
BGR,LVA,32525.648980199465,47235.11637229419,109731.2199683082,62496.103596014014,-30.008142999336997
BGR,MEX,32525.64898019947,47138.12653240719,109567.6767301113,62429.550197704106,66.98169688766939
BGR,MLT,32525.64898019945,47165.04978032134,109664.28645019795,62499.2366698766,40.05844897351926
BGR,NLD,32525.648980199465,47228.37678030804,109669.51716462823,62441.140384320184,-23.26855101318506
BGR,POL,32525.648980199458,47190.98351636844,109672.29198588665,62481.308469518204,14.124712926415668
BGR,PRT,32525.648980199472,47201.185376397785,109633.55940706863,62432.37403067088,3.9228528970706975
BGR,ROU,32525.648980199454,47144.199229364516,109644.46646401825,62500.26723465372,60.90899993033963
BGR,RUS,32525.64898019947,47166.93763838397,109608.97333577168,62442.035697387706,38.17059091088595
BGR,SVK,32525.64898019945,47170.03954412434,109637.12324244961,62467.08369832528,35.06868517051771
BGR,SVN,32525.648980199458,47197.783440324725,109651.3078712089,62453.52443088416,7.324788970130612
BGR,SWE,32525.64898019946,47213.00976835205,109646.6593297574,62433.64956140538,-7.901539057194896
BGR,TUR,32525.648980199454,47181.33528219113,109648.724823965,62467.38954177388,23.77294710372371
BGR,TWN,32525.64898019947,47177.74381993865,109642.54101823625,62464.79719829758,27.364409356203396
BGR,USA,32525.64898019948,47245.65591196094,109701.08767779986,62455.43176583892,-40.54768266608153
BRA,AUS,1602412.8438789898,1664543.3428604016,2941409.926490396,1276866.5836299947,-469.3313864930533
BRA,AUT,1602412.843878989,1664230.0363617158,2942169.612045688,1277939.575683972,-156.0248878072016
BRA,BEL,1602412.8438789896,1664501.097334714,2941431.325305624,1276930.2279709105,-427.08586080535315
BRA,BGR,1602412.84387899,1663864.5730356781,2944151.5928905765,1280287.0198548988,209.43843823042698
BRA,CAN,1602412.843878989,1663803.165997488,2941470.412155566,1277667.2461580774,270.84547642059624
BRA,CHN,1602412.8438789898,1664415.561786478,2945862.174365089,1281446.612578611,-341.5503125693649
BRA,CYP,1602412.8438789898,1663870.6871671386,2940833.4507767246,1276962.7636095856,203.32430676999502
BRA,CZE,1602412.8438789896,1663712.389839176,2943990.4769378677,1280278.0870986923,361.6216347324662
BRA,DEU,1602412.8438789896,1663593.8099295353,2941539.1666135043,1277945.3566839702,480.2015443732962
BRA,DNK,1602412.8438789896,1664646.7398732274,2941309.5628446657,1276662.8229714388,-572.7283993188757
BRA,ESP,1602412.8438789898,1663932.1194501575,2944391.6038456094,1280459.4843954504,141.8920237510465
BRA,EST,1602412.8438789893,1664522.050792112,2943882.0919842306,1279360.0411921188,-448.0393182034604
BRA,FIN,1602412.8438789903,1664273.9796131467,2941384.9556285464,1277110.9760153992,-199.9681392381899
BRA,FRA,1602412.8438789896,1663593.2064772174,2940622.8417236037,1277029.6352463865,480.80499669117853
BRA,GBR,1602412.8438789898,1664274.8891825255,2941707.565689622,1277432.6765070965,-200.87770861689933
BRA,GRC,1602412.84387899,1663831.6837978056,2942930.558459123,1279098.8746613187,242.3276761029847
